method,image_idx,ratio,n_topk,n_spatial,n_out
advanced,0,0.21180555555555555,122,0,123
advanced,1,0.17708333333333334,102,0,103
advanced,2,0.16319444444444445,94,0,95
advanced,3,0.1909722222222222,110,0,111
advanced,4,0.1753472222222222,101,0,102
advanced,5,0.19618055555555555,113,0,114
advanced,6,0.19618055555555555,113,0,114
advanced,7,0.2065972222222222,119,0,120
advanced,8,0.2170138888888889,125,0,126
advanced,9,0.1701388888888889,98,0,99
advanced,10,0.19791666666666666,114,0,115
advanced,11,0.21006944444444445,121,0,122
advanced,12,0.2013888888888889,116,0,117
advanced,13,0.1753472222222222,101,0,102
advanced,14,0.19618055555555555,113,0,114
advanced,15,0.19618055555555555,113,0,114
advanced,16,0.21354166666666666,123,0,124
advanced,17,0.1892361111111111,109,0,110
advanced,18,0.18055555555555555,104,0,105
advanced,19,0.21006944444444445,121,0,122
advanced,20,0.19270833333333334,111,0,112
advanced,21,0.18055555555555555,104,0,105
advanced,22,0.21180555555555555,122,0,123
advanced,23,0.17881944444444445,103,0,104
advanced,24,0.2204861111111111,127,0,128
advanced,25,0.1840277777777778,106,0,107
advanced,26,0.1579861111111111,91,0,92
advanced,27,0.17881944444444445,103,0,104
advanced,28,0.19791666666666666,114,0,115
advanced,29,0.19444444444444445,112,0,113
advanced,30,0.1736111111111111,100,0,101
advanced,31,0.19444444444444445,112,0,113
advanced,32,0.1857638888888889,107,0,108
advanced,33,0.19791666666666666,114,0,115
advanced,34,0.19791666666666666,114,0,115
advanced,35,0.19618055555555555,113,0,114
advanced,36,0.21006944444444445,121,0,122
advanced,37,0.1909722222222222,110,0,111
advanced,38,0.1736111111111111,100,0,101
advanced,39,0.203125,117,0,118
advanced,40,0.18229166666666666,105,0,106
advanced,41,0.19270833333333334,111,0,112
advanced,42,0.1996527777777778,115,0,116
advanced,43,0.2065972222222222,119,0,120
advanced,44,0.19270833333333334,111,0,112
advanced,45,0.1684027777777778,97,0,98
advanced,46,0.2152777777777778,124,0,125
advanced,47,0.21180555555555555,122,0,123
advanced,48,0.2048611111111111,118,0,119
advanced,49,0.1840277777777778,106,0,107
advanced,50,0.1857638888888889,107,0,108
advanced,51,0.1909722222222222,110,0,111
advanced,52,0.1875,108,0,109
advanced,53,0.21006944444444445,121,0,122
advanced,54,0.2170138888888889,125,0,126
advanced,55,0.21006944444444445,121,0,122
advanced,56,0.1753472222222222,101,0,102
advanced,57,0.2048611111111111,118,0,119
advanced,58,0.2048611111111111,118,0,119
advanced,59,0.19270833333333334,111,0,112
advanced,60,0.18229166666666666,105,0,106
advanced,61,0.18229166666666666,105,0,106
advanced,62,0.19791666666666666,114,0,115
advanced,63,0.19444444444444445,112,0,113
advanced,64,0.1753472222222222,101,0,102
advanced,65,0.203125,117,0,118
advanced,66,0.1892361111111111,109,0,110
advanced,67,0.21354166666666666,123,0,124
advanced,68,0.1701388888888889,98,0,99
advanced,69,0.2152777777777778,124,0,125
advanced,70,0.1996527777777778,115,0,116
advanced,71,0.2013888888888889,116,0,117
advanced,72,0.2170138888888889,125,0,126
advanced,73,0.1996527777777778,115,0,116
advanced,74,0.21006944444444445,121,0,122
advanced,75,0.21006944444444445,121,0,122
advanced,76,0.1736111111111111,100,0,101
advanced,77,0.19618055555555555,113,0,114
advanced,78,0.2152777777777778,124,0,125
advanced,79,0.21354166666666666,123,0,124
advanced,80,0.21006944444444445,121,0,122
advanced,81,0.1996527777777778,115,0,116
advanced,82,0.1857638888888889,107,0,108
advanced,83,0.18055555555555555,104,0,105
advanced,84,0.19270833333333334,111,0,112
advanced,85,0.1909722222222222,110,0,111
advanced,86,0.2204861111111111,127,0,128
advanced,87,0.19618055555555555,113,0,114
advanced,88,0.1996527777777778,115,0,116
advanced,89,0.1892361111111111,109,0,110
advanced,90,0.2048611111111111,118,0,119
advanced,91,0.203125,117,0,118
advanced,92,0.203125,117,0,118
advanced,93,0.1892361111111111,109,0,110
advanced,94,0.2170138888888889,125,0,126
advanced,95,0.21180555555555555,122,0,123
advanced,96,0.2013888888888889,116,0,117
advanced,97,0.1909722222222222,110,0,111
advanced,98,0.18229166666666666,105,0,106
advanced,99,0.1840277777777778,106,0,107
advanced,100,0.19791666666666666,114,0,115
advanced,101,0.1840277777777778,106,0,107
advanced,102,0.19270833333333334,111,0,112
advanced,103,0.21180555555555555,122,0,123
advanced,104,0.171875,99,0,100
advanced,105,0.2013888888888889,116,0,117
advanced,106,0.2013888888888889,116,0,117
advanced,107,0.19791666666666666,114,0,115
advanced,108,0.1840277777777778,106,0,107
advanced,109,0.1875,108,0,109
advanced,110,0.19791666666666666,114,0,115
advanced,111,0.19791666666666666,114,0,115
advanced,112,0.19444444444444445,112,0,113
advanced,113,0.2170138888888889,125,0,126
advanced,114,0.19444444444444445,112,0,113
advanced,115,0.17708333333333334,102,0,103
advanced,116,0.18055555555555555,104,0,105
advanced,117,0.2013888888888889,116,0,117
advanced,118,0.21875,126,0,127
advanced,119,0.19270833333333334,111,0,112
advanced,120,0.2065972222222222,119,0,120
advanced,121,0.1996527777777778,115,0,116
advanced,122,0.1857638888888889,107,0,108
advanced,123,0.19791666666666666,114,0,115
advanced,124,0.1996527777777778,115,0,116
advanced,125,0.20833333333333334,120,0,121
advanced,126,0.20833333333333334,120,0,121
advanced,127,0.2170138888888889,125,0,126
advanced,128,0.21180555555555555,122,0,123
advanced,129,0.1892361111111111,109,0,110
advanced,130,0.21354166666666666,123,0,124
advanced,131,0.18055555555555555,104,0,105
advanced,132,0.2152777777777778,124,0,125
advanced,133,0.21875,126,0,127
advanced,134,0.21875,126,0,127
advanced,135,0.19270833333333334,111,0,112
advanced,136,0.17708333333333334,102,0,103
advanced,137,0.21006944444444445,121,0,122
advanced,138,0.2048611111111111,118,0,119
advanced,139,0.19791666666666666,114,0,115
advanced,140,0.21354166666666666,123,0,124
advanced,141,0.1840277777777778,106,0,107
advanced,142,0.21006944444444445,121,0,122
advanced,143,0.19791666666666666,114,0,115
advanced,144,0.1857638888888889,107,0,108
advanced,145,0.203125,117,0,118
advanced,146,0.2048611111111111,118,0,119
advanced,147,0.2013888888888889,116,0,117
advanced,148,0.1857638888888889,107,0,108
advanced,149,0.20833333333333334,120,0,121
advanced,150,0.22743055555555555,131,0,132
advanced,151,0.1875,108,0,109
advanced,152,0.19791666666666666,114,0,115
advanced,153,0.203125,117,0,118
advanced,154,0.1857638888888889,107,0,108
advanced,155,0.1875,108,0,109
advanced,156,0.19618055555555555,113,0,114
advanced,157,0.21354166666666666,123,0,124
advanced,158,0.1892361111111111,109,0,110
advanced,159,0.21006944444444445,121,0,122
advanced,160,0.2013888888888889,116,0,117
advanced,161,0.1736111111111111,100,0,101
advanced,162,0.2204861111111111,127,0,128
advanced,163,0.2204861111111111,127,0,128
advanced,164,0.1840277777777778,106,0,107
advanced,165,0.18055555555555555,104,0,105
advanced,166,0.19444444444444445,112,0,113
advanced,167,0.2065972222222222,119,0,120
advanced,168,0.2065972222222222,119,0,120
advanced,169,0.19270833333333334,111,0,112
advanced,170,0.21354166666666666,123,0,124
advanced,171,0.2048611111111111,118,0,119
advanced,172,0.2170138888888889,125,0,126
advanced,173,0.2152777777777778,124,0,125
advanced,174,0.21180555555555555,122,0,123
advanced,175,0.19444444444444445,112,0,113
advanced,176,0.17881944444444445,103,0,104
advanced,177,0.2048611111111111,118,0,119
advanced,178,0.19444444444444445,112,0,113
advanced,179,0.19791666666666666,114,0,115
advanced,180,0.2065972222222222,119,0,120
advanced,181,0.18229166666666666,105,0,106
advanced,182,0.19444444444444445,112,0,113
advanced,183,0.2204861111111111,127,0,128
advanced,184,0.1909722222222222,110,0,111
advanced,185,0.19618055555555555,113,0,114
advanced,186,0.21180555555555555,122,0,123
advanced,187,0.21006944444444445,121,0,122
advanced,188,0.19444444444444445,112,0,113
advanced,189,0.19618055555555555,113,0,114
advanced,190,0.20833333333333334,120,0,121
advanced,191,0.19791666666666666,114,0,115
advanced,192,0.1701388888888889,98,0,99
advanced,193,0.2013888888888889,116,0,117
advanced,194,0.19444444444444445,112,0,113
advanced,195,0.203125,117,0,118
advanced,196,0.1892361111111111,109,0,110
advanced,197,0.18229166666666666,105,0,106
advanced,198,0.1875,108,0,109
advanced,199,0.1892361111111111,109,0,110
advanced,200,0.1857638888888889,107,0,108
advanced,201,0.19270833333333334,111,0,112
advanced,202,0.19618055555555555,113,0,114
advanced,203,0.1996527777777778,115,0,116
advanced,204,0.19444444444444445,112,0,113
advanced,205,0.2048611111111111,118,0,119
advanced,206,0.19270833333333334,111,0,112
advanced,207,0.19270833333333334,111,0,112
advanced,208,0.19618055555555555,113,0,114
advanced,209,0.2013888888888889,116,0,117
advanced,210,0.21875,126,0,127
advanced,211,0.20833333333333334,120,0,121
advanced,212,0.20833333333333334,120,0,121
advanced,213,0.19618055555555555,113,0,114
advanced,214,0.1996527777777778,115,0,116
advanced,215,0.1996527777777778,115,0,116
advanced,216,0.2013888888888889,116,0,117
advanced,217,0.20833333333333334,120,0,121
advanced,218,0.1857638888888889,107,0,108
advanced,219,0.2065972222222222,119,0,120
advanced,220,0.19618055555555555,113,0,114
advanced,221,0.1840277777777778,106,0,107
advanced,222,0.19791666666666666,114,0,115
advanced,223,0.17708333333333334,102,0,103
advanced,224,0.2048611111111111,118,0,119
advanced,225,0.2204861111111111,127,0,128
advanced,226,0.1875,108,0,109
advanced,227,0.21354166666666666,123,0,124
advanced,228,0.21180555555555555,122,0,123
advanced,229,0.18229166666666666,105,0,106
advanced,230,0.1875,108,0,109
advanced,231,0.2065972222222222,119,0,120
advanced,232,0.18055555555555555,104,0,105
advanced,233,0.17881944444444445,103,0,104
advanced,234,0.17881944444444445,103,0,104
advanced,235,0.21875,126,0,127
advanced,236,0.2013888888888889,116,0,117
advanced,237,0.1996527777777778,115,0,116
advanced,238,0.19444444444444445,112,0,113
advanced,239,0.1892361111111111,109,0,110
advanced,240,0.2013888888888889,116,0,117
advanced,241,0.21354166666666666,123,0,124
advanced,242,0.1857638888888889,107,0,108
advanced,243,0.2065972222222222,119,0,120
advanced,244,0.203125,117,0,118
advanced,245,0.19444444444444445,112,0,113
advanced,246,0.19791666666666666,114,0,115
advanced,247,0.20833333333333334,120,0,121
advanced,248,0.1857638888888889,107,0,108
advanced,249,0.20833333333333334,120,0,121
advanced,250,0.20833333333333334,120,0,121
advanced,251,0.2013888888888889,116,0,117
advanced,252,0.21354166666666666,123,0,124
advanced,253,0.19618055555555555,113,0,114
advanced,254,0.2048611111111111,118,0,119
advanced,255,0.19444444444444445,112,0,113
advanced,256,0.19444444444444445,112,0,113
advanced,257,0.20833333333333334,120,0,121
advanced,258,0.1875,108,0,109
advanced,259,0.21180555555555555,122,0,123
advanced,260,0.21006944444444445,121,0,122
