component,N,B,mean_ms,std_ms
T_edge,-,-,231.478099784581,0.16456529410966794
T_prumerge_base,-,-,6.070720808347687,0.15011699934429132
T_prumerge_plus,-,-,16.78375381976366,0.29506773899311367
T_quant,1,1,1.3126459962222725,0.0385429919850244
T_quant,1,2,1.4372908929362893,0.3881553143135592
T_quant,1,4,1.5529230190441012,0.9211447126925288
T_quant,2,1,1.4716449263505638,0.0636277623756666
T_quant,2,2,1.5045196982100606,0.1301161248430212
T_quant,2,4,2.0818671421147883,0.7897285665926961
T_quant,3,1,1.4588032115716487,0.016925120331704003
T_quant,3,2,1.4866381278261542,0.08461678891259963
T_quant,3,4,1.550425987225026,0.09503598701474703
T_quant,4,1,1.462632310576737,0.019053249602635842
T_quant,4,2,1.706983185140416,1.0129726154536114
T_quant,4,4,1.5854141674935818,0.23646196790761095
T_quant,5,1,1.4695972797926515,0.04443895050592189
T_quant,5,2,1.8031463481020182,1.409736832298899
T_quant,5,4,1.5947762818541378,0.2980247199012575
T_quant,6,1,1.5991903364192694,0.34016997016242667
T_quant,6,2,1.4676456130109727,0.02044790455139231
T_quant,6,4,1.5595960756763816,0.08681130500465295
T_quant,7,1,1.4839052455499768,0.03491916014087907
T_quant,7,2,1.5817937650717795,0.2968707259970366
T_quant,7,4,1.6103377984836698,0.16449201732865124
T_quant,8,1,1.5075382788199931,0.14395063520194504
T_quant,8,2,1.6484110744204372,0.43435036695998414
T_quant,8,4,1.6538364964071661,0.2053126777023225
T_quant,9,1,1.59017582423985,0.3071484922620162
T_quant,9,2,1.5266900218557566,0.1535364015029903
T_quant,9,4,1.6284513974096626,0.09015819582926947
T_quant,10,1,1.5257794666104019,0.1568982702630519
T_quant,10,2,2.0533548074308783,1.9513064992045086
T_quant,10,4,1.7560524097643793,0.7936330827442672
T_quant,11,1,1.5193460753653198,0.13130652924993239
T_quant,11,2,1.5272731787990779,0.17558828536797685
T_quant,11,4,1.7023876949679106,0.18693372532377722
T_quant,12,1,1.6120330500416458,0.4453578597155969
T_quant,12,2,1.5852088166866452,0.24300793760558764
T_quant,12,4,1.6950180754065514,0.12615548909070629
T_quant,13,1,1.501906142802909,0.06829707338256678
T_quant,13,2,1.5849323477596045,0.2724094492485383
T_quant,13,4,1.769274054095149,0.2135488445322324
T_quant,14,1,1.5021430072374642,0.0494726634509301
