B (bits)	All B=1	All B=2	All B=4	MME-opt
25,600	0.6188	0.4946	0.2224	0.5961
40,000	0.6407	0.5812	0.3991	0.6347
65,000	0.6446	0.6348	0.5350	0.6382
90,000	0.6607	0.6484	0.5808	0.6448
115,500	0.6559	0.6540	0.6193	0.6496
155,000	0.6845	0.6579	0.6359	0.6722
200,000	0.7047	0.6694	0.6475	0.6668
266,240	0.7403	0.6759	0.6505	0.7197
340,000	0.7927	0.6956	0.6555	0.7703
420,000	0.8264	0.7132	0.6653	0.8138
589,824	0.8537	0.7583	0.6884	0.8481
