method,image_idx,n_out
advanced,398,70
advanced,399,50
advanced,400,42
advanced,401,28
advanced,402,58
advanced,403,25
advanced,404,67
advanced,405,26
advanced,406,23
advanced,407,38
advanced,408,53
advanced,409,18
advanced,410,40
advanced,411,28
advanced,412,39
advanced,413,46
advanced,414,41
advanced,415,20
advanced,416,53
advanced,417,25
advanced,418,33
advanced,419,31
advanced,420,52
advanced,421,57
advanced,422,17
advanced,423,22
advanced,424,44
advanced,425,12
advanced,426,38
advanced,427,30
advanced,428,53
advanced,429,25
advanced,430,67
advanced,431,26
advanced,432,47
advanced,433,80
advanced,434,46
advanced,435,10
advanced,436,16
advanced,437,63
advanced,438,39
advanced,439,36
advanced,440,9
advanced,441,45
advanced,442,57
advanced,443,26
advanced,444,28
advanced,445,35
advanced,446,43
advanced,447,9
advanced,448,30
advanced,449,52
advanced,450,26
advanced,451,30
advanced,452,42
advanced,453,48
advanced,454,42
advanced,455,24
advanced,456,31
advanced,457,35
advanced,458,24
advanced,459,59
advanced,460,20
advanced,461,25
advanced,462,45
advanced,463,40
advanced,464,48
advanced,465,37
advanced,466,57
advanced,467,42
advanced,468,34
advanced,469,22
advanced,470,15
advanced,471,24
advanced,472,45
advanced,473,17
advanced,474,42
advanced,475,27
advanced,476,31
advanced,477,27
advanced,478,41
advanced,479,24
advanced,480,57
advanced,481,24
advanced,482,24
advanced,483,35
advanced,484,13
advanced,485,62
advanced,486,43
advanced,487,58
advanced,488,44
advanced,489,58
advanced,490,32
advanced,491,39
advanced,492,24
advanced,493,26
advanced,494,29
advanced,495,36
advanced,496,29
advanced,497,19
advanced,498,54
advanced,499,20
