method,image_idx,n_out
plus,455,94
plus,456,127
plus,457,145
plus,458,93
plus,459,231
plus,460,77
plus,461,93
plus,462,172
plus,463,173
plus,464,181
plus,465,147
plus,466,235
plus,467,180
plus,468,145
plus,469,84
plus,470,60
plus,471,91
plus,472,181
plus,473,62
plus,474,179
plus,475,105
plus,476,124
plus,477,109
plus,478,176
plus,479,94
plus,480,231
plus,481,95
plus,482,95
plus,483,144
plus,484,48
plus,485,231
plus,486,179
plus,487,225
plus,488,179
plus,489,237
plus,490,122
plus,491,147
plus,492,93
plus,493,102
plus,494,121
plus,495,144
plus,496,123
plus,497,75
plus,498,229
plus,499,76
