B (bits)	All B=1	All B=2	All B=4	MME-opt
115,500	0.8091	0.7871	0.7528	0.7839
155,000	0.8029	0.7960	0.7721	0.7887
200,000	0.8122	0.8015	0.7913	0.7955
266,240	0.8108	0.8118	0.7916	0.8082
340,000	0.8214	0.8156	0.8047	0.8118
420,000	0.8386	0.8150	0.8096	0.8094
589,824	0.7066	0.8130	0.8130	0.8205
840,000	ERR	0.8447	0.8174	0.8210
