B (bits)	All B=1	All B=2	All B=4	MME-opt
25,600	0.7323	0.6330	0.4337	0.7323
40,000	0.7741	0.7036	0.5593	0.7332
65,000	0.7900	0.7540	0.6758	0.7841
90,000	0.7962	0.7789	0.7295	0.7869
115,500	0.8091	0.7871	0.7528	0.7877
155,000	0.8029	0.7960	0.7721	0.7895
266,240	0.8108	0.8118	0.7916	0.8091
200,000	0.8122	0.8015	0.7913	0.7953
340,000	0.8214	0.8156	0.8047	0.8098
420,000	0.8386	0.8150	0.8096	0.8094
589,824	0.7066	0.8130	0.8130	0.8148


