B (bits)	All B=1	All B=2	All B=4	MME-opt
57,750	0.7911	0.7504	0.6611	0.7810
115,500	0.8091	0.7871	0.7528	0.7891
155,000	0.8029	0.7960	0.7721	0.7904
200,000	0.8122	0.8015	0.7913	0.7973
266,240	0.8108	0.8118	0.7916	0.8091
340,000	0.8214	0.8156	0.8047	0.8093
420,000	0.8386	0.8150	0.8096	0.8119
589,824	0.7066	0.8130	0.8130	0.8130
