component,N,B,mean_ms,std_ms
T_edge,-,-,250.14876713394187,0.12400861458409829
T_prumerge_base,-,-,8.196232852060348,0.06803425093721288
T_prumerge_plus,-,-,23.36375434533693,0.10240141819266295
T_quant,1,1,1.574015929363668,0.09571806271271385
T_quant,1,2,1.5837204118724912,0.11316683103909318
T_quant,1,4,1.5643636544700712,0.08236726546007168
T_quant,2,1,1.735704883467406,0.20326801486371246
T_quant,2,2,1.6861894796602428,0.11883891311620105
T_quant,2,4,1.666131818201393,0.07276941709047476
T_quant,3,1,1.703577977605164,0.12751713720802912
T_quant,3,2,1.6899943281896412,0.11329751314278468
T_quant,3,4,1.6504039382562041,0.04736768135545154
T_quant,4,1,1.6823568393010646,0.09461327161641908
T_quant,4,2,1.6754024906549603,0.07960089167018757
T_quant,4,4,1.6788123967126012,0.10077396375789485
T_quant,5,1,1.6764793393667787,0.09482629643064196
T_quant,5,2,1.685412450460717,0.09945229715482275
T_quant,5,4,1.6863254737108946,0.10039867921311757
T_quant,6,1,1.6850931441877037,0.08525195927308869
T_quant,6,2,1.6891914047300816,0.09607601731925007
T_quant,6,4,1.6750983684323728,0.1368760710246748
T_quant,7,1,1.6759615251794457,0.061320754346206346
T_quant,7,2,1.6827263950835913,0.11270535304534171
T_quant,7,4,1.6880924615543336,0.08776908209885816
T_quant,8,1,1.6879930614959449,0.11952827758656785
T_quant,8,2,1.681137578561902,0.1465055504514731
T_quant,8,4,1.82164337602444,0.4831966453235419
T_quant,9,1,1.6927914984989911,0.11843939442015541
T_quant,9,2,1.6918998712208122,0.09847304366744376
T_quant,9,4,1.7073142295703292,0.07472047706027168
T_quant,10,1,1.6794066689908504,0.08469818677618342
T_quant,10,2,1.668017387855798,0.08123062777931706
T_quant,10,4,1.7390976659953594,0.09663207095682343
T_quant,11,1,1.685609620762989,0.0778670055291409
T_quant,11,2,1.6727905545849353,0.12651688948152384
T_quant,11,4,1.7485610488802195,0.08390676474055751
T_quant,12,1,1.674152547493577,0.07452492732360821
T_quant,12,2,1.6830668365582824,0.08883040910463819
T_quant,12,4,1.7634486313909292,0.07018861982514531
T_quant,13,1,1.6711822943761945,0.0592948498478228
T_quant,13,2,1.6972698911558837,0.1140670848599259
T_quant,13,4,1.826606213580817,0.27437646406744765
T_quant,14,1,1.6780566063243896,0.06782561491114356
T_quant,14,2,1.6863529721740633,0.16050724538222008
T_quant,14,4,1.794084848370403,0.07086473751057451
T_quant,15,1,1.6797542106360197,0.08335529766626845
T_quant,15,2,1.711076230276376,0.08837001388868403
T_quant,15,4,2.363354758126661,0.7983562354760949
T_quant,16,1,1.7005871166475117,0.14643999820006473
T_quant,16,2,1.733688599197194,0.14418708226744067
T_quant,16,4,2.0622169319540262,0.48814803170795407
T_quant,17,1,1.6677109862212092,0.07768125157037617
T_quant,17,2,1.7023374780546874,0.1719325182770883
T_quant,17,4,1.9430960156023502,0.20346613852933484
T_quant,18,1,1.6727169672958553,0.10459804605528311
T_quant,18,2,1.6917163145262748,0.12636814283561804
T_quant,18,4,1.920204171910882,0.10865709331849291
T_quant,19,1,1.6872268402948976,0.08789470234837038
T_quant,19,2,1.7385533603373915,0.13202454846936895
T_quant,19,4,1.9705356983467937,0.12967965687192817
T_quant,20,1,1.6788354713935405,0.11558458638064013
T_quant,20,2,1.718051286879927,0.11974906011424422
T_quant,20,4,1.9577247160486877,0.1311284338912101
T_quant,21,1,1.8193246121518314,0.1795665290009865
T_quant,21,2,1.7998072353657335,0.19532936929207176
T_quant,21,4,1.9855000381357968,0.20616183956612152
T_quant,22,1,1.8674480088520795,0.16871834296139845
T_quant,22,2,1.867829478578642,0.12037521140634735
T_quant,22,4,2.0027012063656002,0.1379680022567387
T_quant,23,1,1.8518590251915157,0.12509585132833625
T_quant,23,2,1.8907770584337413,0.1592798478403876
T_quant,23,4,2.1584436832927167,0.4980267282661722
T_quant,24,1,1.8644495913758874,0.1316633748395294
T_quant,24,2,1.8912675383035094,0.12524303881021379
T_quant,24,4,2.129116643918678,0.4278638798567956
T_quant,25,1,1.8459570070262998,0.11317443180494487
T_quant,25,2,1.9117199908941984,0.19060874609154912
T_quant,25,4,2.033213669201359,0.10202197781721227
T_quant,26,1,1.9016832625493407,0.1840152746103253
T_quant,26,2,1.9185356819070876,0.1749611263216192
T_quant,26,4,2.055026044836268,0.1793095549770823
T_quant,27,1,1.8794831563718617,0.16955396214872956
T_quant,27,2,1.9057714100927114,0.12327054674359417
T_quant,27,4,2.0852384238969535,0.11384168349515905
