component,N,mean_ms,std_ms
T_proj_llm,1,183.6824533995241,0.12289009016077003
T_proj_llm,2,186.60090637858957,0.2253657773575801
T_proj_llm,3,185.60872410889715,0.21337072474255775
T_proj_llm,4,189.52563488855958,0.09817080242762288
T_proj_llm,5,188.36851589148864,0.5801932255835582
T_proj_llm,6,191.492309095338,0.10354068218019354
T_proj_llm,7,190.66352737136185,0.47887927312920026
T_proj_llm,8,188.47051039338112,0.13158898788752524
T_proj_llm,9,193.6910378979519,0.11092441339768368
T_proj_llm,10,197.401203494519,0.12444610260704685
T_proj_llm,11,190.34017259255052,0.18269544032517343
T_proj_llm,12,193.6398913152516,0.29859384423846286
T_proj_llm,13,192.6918662036769,0.47498990777922706
T_proj_llm,14,195.38280270062387,0.14003452615068002
T_proj_llm,15,194.70275867497548,0.43126201523872015
T_proj_llm,16,190.39940770016983,0.1223052861214084
T_proj_llm,17,196.74138309201226,0.3727076184547817
T_proj_llm,18,199.4508639909327,0.1482185530964006
T_proj_llm,19,198.34411669289693,0.14061209571390199
T_proj_llm,20,201.3829555013217,0.1778402515050585
T_proj_llm,21,200.39461927954108,0.10433900935742065
T_proj_llm,22,203.07821189053357,0.1318901746430083
T_proj_llm,23,197.8505447972566,0.14191024254313703
T_proj_llm,24,197.48121539596468,0.4335092553286601
T_proj_llm,25,287.2416764963418,0.19859244619775204
T_proj_llm,26,290.42809072416276,0.1321399110043085
T_proj_llm,27,289.24379410455003,0.1753934975982436
T_proj_llm,28,292.78458781773224,0.11643783988862494
T_proj_llm,29,291.7039880063385,0.801983160487557
T_proj_llm,30,294.4681191118434,0.13642108965909672
T_proj_llm,31,293.30605290597305,0.1683722235594969
T_proj_llm,32,284.1063256957568,0.05400018982354463
T_proj_llm,33,295.43058171402663,0.12077850726435499
T_proj_llm,34,295.1497392728925,0.08535915142647427
T_proj_llm,35,297.19708387274295,0.13938702915906476
T_proj_llm,36,297.8400899330154,0.17288355378922762
T_proj_llm,37,299.57941422471777,0.09267499602251592
T_proj_llm,38,299.5447769179009,0.11178934231653048
T_proj_llm,39,301.8382105277851,0.16354241980611775
T_proj_llm,40,291.9359145220369,0.35867060598536443
T_proj_llm,41,305.9478494338691,0.15242578433336756
T_proj_llm,42,306.22262408724055,0.8854142255890162
T_proj_llm,43,308.01497290376574,0.12620375586709673
T_proj_llm,44,308.7059129145928,0.2424495911614506
T_proj_llm,45,310.29993280535564,0.09877992858789165
T_proj_llm,46,310.08830120554194,0.1408963756667945
T_proj_llm,47,312.31977578718215,0.06442175276151664
T_proj_llm,48,299.73176838830113,0.0923969570927677
T_proj_llm,49,315.0634195073508,0.09000964303139938
T_proj_llm,50,314.2564170877449,0.08898699663625276
T_proj_llm,51,317.0437482185662,0.04968025572757118
T_proj_llm,52,317.26257010595873,0.10184819466531549
T_proj_llm,53,319.20111927902326,0.3624639674793529
T_proj_llm,54,318.68749029235914,0.08562157971028103
T_proj_llm,55,321.5358172310516,0.1772305752593708
T_proj_llm,56,307.52028489951044,0.12739311872517187
T_proj_llm,57,326.4315112144686,0.08036283089573466
T_proj_llm,58,327.10719297174364,0.1612402210946161
T_proj_llm,59,328.3044524025172,0.17932022217733215
T_proj_llm,60,330.52583450917155,0.13474570203644146
T_proj_llm,61,330.5813258048147,0.10502227307468551
T_proj_llm,62,331.7307645804249,0.11443896235617058
T_proj_llm,63,333.14335809554905,0.12452623573564997
T_proj_llm,64,316.2326532183215,0.12768262666522018
T_proj_llm,65,335.86156523087993,0.26221823057141447
T_proj_llm,66,336.3283260143362,0.07443962765262689
T_proj_llm,67,337.4756843200885,0.14278871379749355
T_proj_llm,68,340.02773547545075,0.13310833535927266
T_proj_llm,69,339.6081654122099,0.14667787588188286
T_proj_llm,70,340.7963591860607,0.06811733830244879
T_proj_llm,71,342.99519968917593,0.13597375949121543
T_proj_llm,72,324.65868467697874,0.12332172715840486
T_proj_llm,73,347.86599738290533,0.1176820930605218
T_proj_llm,74,348.4682091977447,0.11999915429940677
T_proj_llm,75,350.9736619773321,1.0383931455827442
T_proj_llm,76,353.17320958711207,0.14340414501904508
T_proj_llm,77,353.2334470190108,0.2492022771509768
T_proj_llm,78,354.0594733087346,0.642332761545475
T_proj_llm,79,357.3106086929329,0.5863973581726882
T_proj_llm,80,335.63979817554355,0.19213796962961918
T_proj_llm,81,307.9235131153837,0.21516398617093335
T_proj_llm,82,307.89386752294376,0.10981473220629522
T_proj_llm,83,309.84392730752006,0.08081132943885952
T_proj_llm,84,312.0897315093316,0.11089319502904323
T_proj_llm,85,312.99053666880354,0.1409606511095008
T_proj_llm,86,314.27926959004253,1.2864982229357207
T_proj_llm,87,318.1914663873613,0.09363453138551574
T_proj_llm,88,294.0645993803628,0.10546023396582069
T_proj_llm,89,531.1365954927169,0.29222433196108444
T_proj_llm,90,505.2542212069966,0.12188355528518496
T_proj_llm,91,532.6109904097393,0.09285395750967801
T_proj_llm,92,511.69162982841954,0.12488850192037507
T_proj_llm,93,538.2737751351669,0.17788116707442297
T_proj_llm,94,512.8644822980277,0.21124086751100113
T_proj_llm,95,541.9445535866544,0.22069785911448198
T_proj_llm,96,504.960988892708,0.1819683259081451
T_proj_llm,97,543.9507219824009,0.17711609077189375
T_proj_llm,98,516.9191495049745,0.2837337178601806
T_proj_llm,99,545.9870606777258,0.15540789046779732
T_proj_llm,100,520.1706427847967,0.2446233273630399
T_proj_llm,101,548.5700877150521,0.12300543397596549
T_proj_llm,102,521.5918697300367,0.14799466919714593
T_proj_llm,103,551.8143234192394,0.1428405688404957
T_proj_llm,104,513.1044233217835,0.3100912423936711
T_proj_llm,105,559.0884404955432,0.2421406538924567
T_proj_llm,106,525.4780100891367,0.16197767844647032
T_proj_llm,107,560.9195286757313,0.0918508368312166
T_proj_llm,108,528.6303883069195,0.1640929145329665
T_proj_llm,109,563.6729224934243,0.22314708354033605
T_proj_llm,110,529.9124965793453,0.11021435173464618
T_proj_llm,111,566.9170205132104,0.18832242259830173
T_proj_llm,112,521.8321469146758,0.15765158138989008
T_proj_llm,113,569.9220180045813,0.1894428799390815
T_proj_llm,114,534.6285392064601,0.11049078355073326
T_proj_llm,115,571.5773789095692,0.08586176041316741
T_proj_llm,116,537.9253000020981,0.08665096555525352
T_proj_llm,117,574.3774873088114,0.13170298976536465
T_proj_llm,118,539.4748361082748,0.14427610647442357
T_proj_llm,119,577.8632617089897,0.2621554273916119
T_proj_llm,120,530.5934456177056,0.252205521621551
T_proj_llm,121,586.7316070827655,0.15707604751681448
T_proj_llm,122,543.1060292874463,0.13873720843649445
T_proj_llm,123,588.8890034984797,0.11267167417852829
T_proj_llm,124,546.7614157940261,0.16830971290410407
T_proj_llm,125,591.3232801249251,0.2416600698208142
T_proj_llm,126,547.7425638353452,0.41603356460493846
T_proj_llm,127,594.3732412764803,0.18263487040910023
T_proj_llm,128,539.4166909856722,0.11297582282943888
T_proj_llm,129,597.3209420219064,0.20058068039572194
T_proj_llm,130,552.9234505724162,0.09622318748408998
T_proj_llm,131,599.3370242998935,0.08799975016983627
T_proj_llm,132,556.2042820383795,0.08910267378183351
T_proj_llm,133,602.2387308068573,0.2941489014204145
T_proj_llm,134,558.4030386176892,0.34922881935525796
T_proj_llm,135,605.494317098055,0.11189921925673041
T_proj_llm,136,548.4156187041663,0.1410065894531233
T_proj_llm,137,614.2324817017652,0.10850118564622589
T_proj_llm,138,561.8569823214784,0.1625281244668031
T_proj_llm,139,616.2094312021509,0.15458699835449202
T_proj_llm,140,565.2069312869571,0.18518953025068596
T_proj_llm,141,619.1269043134525,0.13680177606579247
T_proj_llm,142,565.1511219795793,0.14840788920494835
T_proj_llm,143,622.991998901125,0.18739572248191713
T_proj_llm,144,556.7210562992841,0.05399088777532551
T_proj_llm,145,625.6102845305577,0.14943207678022938
T_proj_llm,146,570.0651255086996,0.06974091736263763
T_proj_llm,147,627.2575847920962,0.09600223642781637
T_proj_llm,148,573.8963388022967,0.09678190986104174
T_proj_llm,149,630.1290992298163,0.18254521979706406
T_proj_llm,150,574.5611018035561,0.14669952336349723
T_proj_llm,151,634.2072810977697,0.20515644512750572
