component,N,mean_ms,std_ms
T_cloud,1,20.87296325713396,0.15781984339132785
T_cloud,2,21.09870720654726,0.08934551718040756
T_cloud,3,21.082846336066723,0.03544163632981262
T_cloud,4,21.097563840448856,0.050280835422641425
T_cloud,5,21.171937212347984,0.12076186281110991
T_cloud,6,21.157068870961666,0.10742519419141133
T_cloud,7,21.104565113782883,0.03862571613547207
T_cloud,8,21.080042645335197,0.08084092129295485
T_cloud,9,21.175231337547302,0.07199132377827824
T_cloud,10,21.181148923933506,0.04658236701236546
T_cloud,11,21.20120782405138,0.1281329695237089
T_cloud,12,21.213769651949406,0.12968678080510007
T_cloud,13,21.13310355693102,0.03455697522908744
T_cloud,14,21.152207292616367,0.034717761999499115
T_cloud,15,21.046380400657654,0.03576865003660339
T_cloud,16,21.0113687440753,0.03666242788802007
T_cloud,17,20.99246259778738,0.03306028562252926
T_cloud,18,20.976756885647774,0.03187462520676361
T_cloud,19,20.970129184424877,0.035074992657583265
T_cloud,20,20.97962938249111,0.037372453092481044
T_cloud,21,21.15880649536848,0.1346958342663364
T_cloud,22,21.12700268626213,0.1256014411308753
T_cloud,23,21.10094804316759,0.03678168703908688
T_cloud,24,20.986742489039898,0.037293759644720786
T_cloud,25,21.391136907041073,0.0653761403438612
T_cloud,26,21.39964196830988,0.03312262496817809
T_cloud,27,21.382302194833755,0.04093796461727209
T_cloud,28,21.32132727652788,0.035793187528156994
T_cloud,29,21.341244466602802,0.03886509192330663
T_cloud,30,21.34721141308546,0.047064557263528595
T_cloud,31,21.351646445691586,0.14281940537722795
T_cloud,32,21.40039812773466,0.13031761137404513
T_cloud,33,21.406029649078846,0.031132801301949502
T_cloud,34,21.462447680532932,0.04254111639542301
T_cloud,35,21.441526226699352,0.036146546483679834
T_cloud,36,21.417224518954754,0.03326231150667973
T_cloud,37,21.42344005405903,0.04146932202143075
T_cloud,38,21.46694339811802,0.039992004290662186
T_cloud,39,21.427646204829216,0.043099252248597564
T_cloud,40,21.428088024258614,0.03497073706415266
T_cloud,41,21.450213752686977,0.1242881555298683
T_cloud,42,21.828637942671776,0.10367412578929987
T_cloud,43,21.9301475584507,0.10708962499034695
T_cloud,44,21.880105435848236,0.1107837351971631
T_cloud,45,22.00263038277626,0.06904897242237766
T_cloud,46,21.95928681641817,0.09319446173894215
T_cloud,47,22.07444317638874,0.07570772863258349
T_cloud,48,22.15849481523037,0.03859775779568696
T_cloud,49,22.16049775481224,0.06551217697096236
T_cloud,50,22.113693729043007,0.0812033646992814
T_cloud,51,22.211960330605507,0.08095442221480531
T_cloud,52,22.171473018825054,0.09138507016785577
T_cloud,53,22.278023175895214,0.08649695017904191
T_cloud,54,22.163789495825768,0.06233326236737728
T_cloud,55,22.272428758442402,0.06458792286519698
T_cloud,56,22.105702608823776,0.08936932562497168
T_cloud,57,22.558877058327198,0.09165905642296204
T_cloud,58,22.327390164136887,0.11126470433243277
T_cloud,59,22.607343047857285,0.08877699395763232
T_cloud,60,22.395112328231335,0.11344432185085639
T_cloud,61,22.62527149170637,0.1165272299161192
T_cloud,62,22.469826713204384,0.08813819303633579
T_cloud,63,22.71313928067684,0.10427450217696099
