component,N,topk,mean_ms,std_ms
T_pm_plus,5,1,1.3083589263260365,0.02087248118658017
T_pm_plus,8,2,1.913395244628191,0.017278598690569098
T_pm_plus,12,3,2.721618115901947,0.0216177471608068
T_pm_plus,16,4,3.5177355632185936,0.008273308077824124
T_pm_plus,21,5,4.5757426880300045,0.026721621077267114
T_pm_plus,24,6,5.1517462357878685,0.03415254078282836
T_pm_plus,30,7,6.2924981117248535,0.015480104411821578
T_pm_plus,32,8,6.692963652312756,0.013864162524431133
T_pm_plus,37,9,7.719745580106974,0.06978724765462442
T_pm_plus,41,10,8.659869711846113,0.01969243244377155
T_pm_plus,46,11,9.745300654321909,0.05850347832700988
T_pm_plus,48,12,10.195812582969666,0.07690167033098805
T_pm_plus,55,13,11.579451709985733,0.0660200339719628
T_pm_plus,59,14,12.346228305250406,0.03226083392475366
T_pm_plus,63,15,13.20275254547596,0.0815385790229755
T_pm_plus,64,16,13.357343152165413,0.0711480621608349
T_pm_plus,71,17,14.722637552767992,0.035129157286527185
T_pm_plus,76,18,15.719490312039852,0.023471830689431095
T_pm_plus,77,19,15.958326496183872,0.05154799284828257
T_pm_plus,82,20,16.958393063396215,0.04173915767447923
T_pm_plus,83,21,17.202110588550568,0.05662378074166271
T_pm_plus,94,22,19.421250000596046,0.10243115078626841
T_pm_plus,95,23,19.54166330397129,0.058445462674589485
T_pm_plus,96,24,19.81981210410595,0.1084546916021527
T_pm_plus,103,25,21.072578709572554,0.05114576694440193
T_pm_plus,104,26,21.444439981132746,0.05346536163489984
T_pm_plus,105,27,21.59052900969982,0.04083110470142486
T_pm_plus,121,28,24.8620736412704,0.03465747651298788
T_pm_plus,121,29,24.826770927757025,0.05048514381557272
T_pm_plus,122,30,25.059398356825113,0.14387124767626655
T_pm_plus,123,31,25.227657798677683,0.04791878659237298
T_pm_plus,124,32,25.48789931461215,0.193633195547457
T_pm_plus,143,33,29.30699586868286,0.04918694780364387
T_pm_plus,144,34,29.581890162080526,0.06522361405118104
T_pm_plus,145,35,29.75365798920393,0.0878774474482741
T_pm_plus,146,36,29.908257443457842,0.07013719330709565
T_pm_plus,147,37,30.153937358409166,0.16647323093950417
T_pm_plus,148,38,30.34690311178565,0.04869662125237455
T_pm_plus,180,39,36.89535818994045,0.11350330323254418
T_pm_plus,180,40,36.76304221153259,0.06667618208692572
T_pm_plus,181,41,36.96361444890499,0.10703567277266561
T_pm_plus,181,42,36.88098546117544,0.0919725146699816
T_pm_plus,181,43,37.00346853584051,0.0771859963640783
T_pm_plus,182,44,37.236291356384754,0.16609735816078564
T_pm_plus,183,45,37.37183613702655,0.15151068833166834
T_pm_plus,184,46,37.48862883076072,0.06740588707519539
T_pm_plus,185,47,37.66302913427353,0.07531609296935345
T_pm_plus,186,48,37.882691994309425,0.09054044741004
T_pm_plus,224,49,45.74912805110216,0.10986325457377918
T_pm_plus,224,50,45.79266719520092,0.11171189686219818
T_pm_plus,225,51,46.03033671155572,0.25500922354606753
T_pm_plus,225,52,46.01009422913194,0.2229732753722121
T_pm_plus,226,53,46.130199916660786,0.09420026523004295
T_pm_plus,226,54,46.10771695151925,0.09951784729773604
T_pm_plus,227,55,46.27585019916296,0.10390708072930543
T_pm_plus,227,56,46.41262888908386,0.13186506571282003
T_pm_plus,227,57,46.37852292507887,0.11720237878480919
T_pm_plus,228,58,46.389329340308905,0.10342466387835048
T_pm_plus,229,59,46.66906138882041,0.09221929166936084
T_pm_plus,230,60,46.86624677851796,0.11460243355218852
T_pm_plus,230,61,47.085332591086626,0.2724178573378989
T_pm_plus,231,62,47.089322190731764,0.21630365978325367
T_pm_plus,232,63,47.243987675756216,0.09961277630293604
T_pm_plus,233,64,47.348785400390625,0.09918342546421681
T_pm_plus,324,65,66.38800874352455,0.12946459767306867
T_pm_plus,324,66,66.39328701421618,0.1697093758899509
T_pm_plus,324,67,66.17559613659978,0.1637157533808027
T_pm_plus,325,68,66.28259550780058,0.09555565907424039
T_pm_plus,326,69,66.52933992445469,0.13320281859991687
T_pm_plus,326,70,66.56079385429621,0.12671678095540617
T_pm_plus,326,71,66.74112314358354,0.30834979935384565
T_pm_plus,326,72,66.59009670838714,0.13559388414540116
T_pm_plus,326,73,66.56101299449801,0.16739855730945896
T_pm_plus,327,74,66.66381284594536,0.15115632984687088
T_pm_plus,327,75,66.78918274119496,0.11155278209728502
T_pm_plus,328,76,66.82157786563039,0.13588831313069294
T_pm_plus,328,77,66.79394897073507,0.16356229460951133
T_pm_plus,328,78,66.79233890026808,0.16588517121521706
T_pm_plus,328,79,66.89579412341118,0.17040628627779644
T_pm_plus,329,80,66.95236638188362,0.09736604945534037
T_pm_plus,330,81,67.22761215642095,0.27420084874962763
T_pm_plus,331,82,67.2416671179235,0.11814994118999052
T_pm_plus,332,83,67.37861195579171,0.1376976513641846
T_pm_plus,332,84,67.49820429831743,0.09698906792843075
T_pm_plus,333,85,67.87717370316386,0.10810620394208974
T_pm_plus,334,86,68.02493622526526,0.1664240170594926
T_pm_plus,334,87,68.03454533219337,0.1723962377134205
T_pm_plus,335,88,68.29507313668728,0.15170419645337593
T_pm_plus,336,89,68.23617732152343,0.12962631112892364
T_pm_plus,336,90,68.13188577070832,0.08587976128615335
T_pm_plus,336,91,68.31903262063861,0.26925487062920855
T_pm_plus,336,92,68.19994822144508,0.12058627426663375
T_pm_plus,336,93,68.1912218220532,0.09317002050321459
T_pm_plus,337,94,68.5210945084691,0.14538902180656138
T_pm_plus,337,95,68.60873699188232,0.1647709581279181
T_pm_plus,338,96,68.67225347086787,0.13878059613255356
T_pm_plus,576,97,118.2731376029551,0.17039459701505438
T_pm_plus,576,98,118.48940188065171,0.24473586154029767
T_pm_plus,576,99,118.4718114323914,0.27022277503903386
T_pm_plus,576,100,118.89508990570903,0.33118436390386347
T_pm_plus,576,101,118.96252194419503,0.38715692618345826
T_pm_plus,576,102,118.77061752602458,0.16533327780231102
T_pm_plus,576,103,118.57310030609369,0.2088971659952286
T_pm_plus,576,104,118.77379352226853,0.19414143578250953
T_pm_plus,576,105,118.70925072580576,0.2751751422154765
