component,N,mean_ms,std_ms
T_pm_base,1,0.33602435141801834,0.008408644069706567
T_pm_base,2,0.5883097648620605,0.014320342743765884
T_pm_base,3,0.7925605401396751,0.019189017527690196
T_pm_base,4,0.9763647802174091,0.015629277122461843
T_pm_base,5,1.1754314415156841,0.02868290888954688
T_pm_base,6,1.3369834050536156,0.0056407664656380925
T_pm_base,7,1.521540805697441,0.005238593752269391
T_pm_base,8,1.710240263491869,0.0068825871515337134
T_pm_base,9,1.8957234919071198,0.0062579925986878905
T_pm_base,10,2.0827319473028183,0.007084912311264629
T_pm_base,11,2.2632780484855175,0.005875339997356099
T_pm_base,12,2.4480574764311314,0.007909876835707421
T_pm_base,13,2.634039241820574,0.007493378716871374
T_pm_base,14,2.809444349259138,0.00763664678120025
T_pm_base,15,2.9960510320961475,0.007668577128291672
T_pm_base,16,3.1883202493190765,0.009067110257694017
T_pm_base,17,3.370359167456627,0.00666147106268101
T_pm_base,18,3.5614078864455223,0.014716206169400546
T_pm_base,19,3.7469202652573586,0.01740376826564426
T_pm_base,20,4.0561821311712265,0.022299919973409552
T_pm_base,21,4.171350970864296,0.008194834337667507
T_pm_base,22,4.34968825429678,0.010159125779898161
T_pm_base,23,4.539801273494959,0.008008904656430843
T_pm_base,24,4.724070243537426,0.007074783234990771
T_pm_base,25,4.923847038298845,0.009151674681301998
T_pm_base,26,5.1032875664532185,0.00901882670614153
T_pm_base,27,5.294761620461941,0.018838359524384306
T_pm_base,28,5.485882144421339,0.023045178496854835
T_pm_base,29,5.669871158897877,0.011829047234464233
T_pm_base,30,5.85062624886632,0.012907066832034826
T_pm_base,31,6.046535074710846,0.015569547867633414
T_pm_base,32,6.228221766650677,0.01168917631338666
T_pm_base,33,6.4127616584300995,0.012428882517828723
T_pm_base,34,6.604806520044804,0.020140378707220706
T_pm_base,35,6.79826783016324,0.02373104483970799
T_pm_base,36,6.97199497371912,0.011956626484859437
T_pm_base,37,7.165714725852013,0.014975177609730148
T_pm_base,38,7.325080130249262,0.013353213039938134
